filename,title,artist,movie,genre,date,duration,format,bitrate,sample_rate,path_flac,path_mp3,desc
Poonkaatinodum Prelude,Poonkaatinodum Prelude,Keshav Anand,Poomukhappadiyil Ninneyum Kathu,4-Track Live Cover,2025-11-08,64,flac,1534,44100,public/music/flac/Poonkaatinodum Prelude.flac,public/music/mp3/Poonkaatinodum Prelude.mp3,
Gadbadi Hadbadi Bass Cover,Gadbadi Hadbadi Bass Cover,Keshav Anand,Rocket Singh — Salesman of the Year,Bass Cover,2025-11-08,147,flac,1506,44100,public/music/flac/Gadbadi Hadbadi Bass Cover.flac,public/music/mp3/Gadbadi Hadbadi Bass Cover.mp3,
Kahani (Laal Singh Chadda),Kahani (Laal Singh Chadda),Keshav Anand,Laal Singh Chadda,Instrumental Studio Music Cover,2025-11-08,88,flac,1191,44100,public/music/flac/Kahani (Laal Singh Chadda).flac,public/music/mp3/Kahani (Laal Singh Chadda).mp3,
Mazhai Chaaral,Mazhai Chaaral,Keshav Anand,,Instrumental Studio Music Cover,2025-11-08,41,flac,874,44100,public/music/flac/Mazhai Chaaral.flac,public/music/mp3/Mazhai Chaaral.mp3,
Maa,Maa,Keshav Anand,Taare Zameen Par,4-Track Live Cover,2025-11-08,254,flac,1378,44100,public/music/flac/Maa.flac,public/music/mp3/Maa.mp3,
Zoobi Doobi Jingle,Zoobi Doobi Jingle,Keshav Anand,3 Idiots,Instrumental 4-Track Studio Music Cover,2025-11-08,23,flac,1349,44100,public/music/flac/Zoobi Doobi Jingle.flac,public/music/mp3/Zoobi Doobi Jingle.mp3,
Porkanda Singham,Porkanda Singham,Keshav Anand,Vikram (2022),Studio Music Cover,2025-11-08,86,flac,1329,44100,public/music/flac/Porkanda Singham.flac,public/music/mp3/Porkanda Singham.mp3,
Vellai Pookal,Vellai Pookal,Keshav Anand,Kannathil Mutthamittal,Instrumental Studio Music Cover,2025-11-08,132,flac,1450,44100,public/music/flac/Vellai Pookal.flac,public/music/mp3/Vellai Pookal.mp3,
Egg Whites (Rap feat. Eki),Egg Whites (Rap feat. Eki),Keshav Anand,,Original Rap Song,2025-11-08,45,flac,1189,44100,public/music/flac/Egg Whites (Rap feat. Eki).flac,public/music/mp3/Egg Whites (Rap feat. Eki).mp3,
Pennala Pennala Oodhaapoo,Pennala Pennala Oodhaapoo,Keshav Anand,Uzhavan,Studio Music Cover,2025-11-08,90,flac,1435,44100,public/music/flac/Pennala Pennala Oodhaapoo.flac,public/music/mp3/Pennala Pennala Oodhaapoo.mp3,
Mayilaanjiye,Mayilaanjiye,Keshav Anand,Sivappu Manjal Pachai,Instrumental Studio Music Cover,2025-11-08,90,flac,1487,44100,public/music/flac/Mayilaanjiye.flac,public/music/mp3/Mayilaanjiye.mp3,
Vellai Pura Ondru ,Vellai Pura Ondru ,Keshav Anand,Pudhu Kavithai,Instrumental Studio Music Cover,2025-11-08,141,flac,828,44100,public/music/flac/Vellai Pura Ondru .flac,public/music/mp3/Vellai Pura Ondru .mp3,
Devuda Devuda Brass Intro,Devuda Devuda Brass Intro,Keshav Anand,Chandramukhi,Orchestral Studio Music Cover,2025-11-08,32,flac,1395,44100,public/music/flac/Devuda Devuda Brass Intro.flac,public/music/mp3/Devuda Devuda Brass Intro.mp3,
Vizhiyile,Vizhiyile,Keshav Anand,Nooruvathu Naal,,2025-11-08,80,flac,1322,44100,public/music/flac/Vizhiyile.flac,public/music/mp3/Vizhiyile.mp3,
Thene Thenpaandi Meene,Thene Thenpaandi Meene,Keshav Anand,Udhaya Geetham,Studio Music Cover,2025-11-08,112,flac,1190,44100,public/music/flac/Thene Thenpaandi Meene.flac,public/music/mp3/Thene Thenpaandi Meene.mp3,
Enna Satham Indha Neram,Enna Satham Indha Neram,Keshav Anand,Punnagai Mannan,Instrumental 3-Track Studio Music Cover,2025-11-08,89,flac,827,44100,public/music/flac/Enna Satham Indha Neram.flac,public/music/mp3/Enna Satham Indha Neram.mp3,
Pudhu Vellai Mazhai,Pudhu Vellai Mazhai,Keshav Anand,Roja,Instrumental Studio Music Cover,2025-11-08,96,flac,1311,44100,public/music/flac/Pudhu Vellai Mazhai.flac,public/music/mp3/Pudhu Vellai Mazhai.mp3,
Porkalam and Kannana Kanney Medley,Porkalam and Kannana Kanney Medley,Keshav Anand,Thenali and Viswasam,Instrumental Studio Music Cover,2025-11-08,178,flac,1287,44100,public/music/flac/Porkalam and Kannana Kanney Medley.flac,public/music/mp3/Porkalam and Kannana Kanney Medley.mp3,
Thendral Vandhu Ennai Thodum,Thendral Vandhu Ennai Thodum,Keshav Anand,Thendrale Ennai Thodu,Studio 3-Track Music Cover,2025-11-08,81,flac,1538,44100,public/music/flac/Thendral Vandhu Ennai Thodum.flac,public/music/mp3/Thendral Vandhu Ennai Thodum.mp3,
Kanne Kalimaane,Kanne Kalimaane,Keshav Anand,Moondram Pirai,Instrumental Studio Music Cover,2025-11-08,72,flac,1405,44100,public/music/flac/Kanne Kalimaane.flac,public/music/mp3/Kanne Kalimaane.mp3,
Kannalaney,Kannalaney,Keshav Anand,Bombay,Instrumental Studio Music Cover,2025-11-08,97,flac,1220,44100,public/music/flac/Kannalaney.flac,public/music/mp3/Kannalaney.mp3,
Sundari,Sundari,Keshav Anand,Dalapathi,Instrumental Studio Music Cover,2025-11-08,123,flac,1159,44100,public/music/flac/Sundari.flac,public/music/mp3/Sundari.mp3,
Bass-abryiaan,Bass-abryiaan,Keshav Anand,M.S. Dhoni — The Untold Story,Instrumental Studio Music Cover,2025-11-08,79,flac,1417,44100,public/music/flac/Bass-abryiaan.flac,public/music/mp3/Bass-abryiaan.mp3,
